day,hour,value
7,3,1
7,5,1
7,6,1
7,8,2
7,10,2
7,11,4
7,12,1
7,14,2
7,15,4
7,16,2
7,17,4
7,18,2
7,19,1
7,20,4
7,21,5
7,22,15
7,23,4
7,24,5
1,1,1
1,2,3
1,3,2
1,4,4
1,5,6
1,6,9
1,7,11
1,8,25
1,9,55
1,10,56
1,11,74
1,12,62
1,13,61
1,14,48
1,15,66
1,16,49
1,17,49
1,18,29
1,19,22
1,20,7
1,21,3
1,22,5
1,23,10
1,24,6
2,1,4
2,2,7
2,3,7
2,4,6
2,5,4
2,6,4
2,7,10
2,8,23
2,9,55
2,10,68
2,11,79
2,12,92
2,13,52
2,14,83
2,15,47
2,16,43
2,17,58
2,18,35
2,19,16
2,20,10
2,21,11
2,22,15
2,23,12
2,24,18
3,1,2
3,2,6
3,3,10
3,4,7
3,5,15
3,6,14
3,7,25
3,8,50
3,9,50
3,10,67
3,11,85
3,12,64
3,13,52
3,14,47
3,15,47
3,16,42
3,17,42
3,18,33
3,19,13
3,20,7
3,21,12
3,22,17
3,23,12
3,24,9
4,1,9
4,2,5
4,3,12
4,4,8
4,5,9
4,6,8
4,7,12
4,8,34
4,9,41
4,10,72
4,11,72
4,12,78
4,13,60
4,14,42
4,15,43
4,16,43
4,17,52
4,18,31
4,19,13
4,20,10
4,21,19
4,22,26
4,23,24
4,24,12
5,1,5
5,2,6
5,3,8
5,4,6
5,5,2
5,6,7
5,7,11
5,8,21
5,9,40
5,10,71
5,11,55
5,12,63
5,13,74
5,14,41
5,15,43
5,16,50
5,17,32
5,18,20
5,19,5
5,21,2
5,22,3
6,1,5
6,2,1
6,8,1
6,10,1
6,12,1
6,13,1
6,15,3
6,16,1
6,17,1
6,18,1
6,19,2
6,20,3
6,22,1
6,23,1
